Sensor Position (Radians)	Light Intensity (Volts)
0.00000	3.70631
0.00000	3.70985
0.00000	3.70567
0.00000	3.70422
0.00000	3.70599
0.00000	3.71356
0.00000	3.70696
0.00000	3.70454
0.00000	3.70840
0.00000	3.70212
0.00000	3.70099
0.00000	3.70341
0.00000	3.71066
0.00000	3.70083
0.00000	3.70357
0.00000	3.70808
0.00000	3.70840
0.00000	3.70389
0.00000	3.70083
0.00000	3.70663
0.00000	3.70486
0.00000	3.70631
0.00000	3.70518
0.00000	3.70438
0.00000	3.70760
0.00000	3.71114
0.00000	3.70840
0.00000	3.71130
0.00000	3.70679
0.00000	3.70792
0.00000	3.71437
0.00873	3.72371
0.01309	3.72741
0.01309	3.72870
0.01745	3.73225
0.02182	3.72661
0.02618	3.72371
0.02618	3.72484
0.03491	3.71855
0.03927	3.71581
0.04363	3.71243
0.04800	3.70953
0.05236	3.70244
0.05672	3.70083
0.06109	3.70035
0.06545	3.69503
0.06545	3.69471
0.06981	3.69246
0.07418	3.68730
0.07418	3.68666
0.07854	3.68424
0.08290	3.68021
0.08290	3.67748
0.08727	3.67570
0.09599	3.67200
0.09599	3.66668
0.10036	3.66588
0.10472	3.66088
0.10908	3.65186
0.11345	3.63849
0.11781	3.64043
0.12217	3.63737
0.12217	3.63624
0.12654	3.63575
0.12654	3.62867
0.13090	3.62496
0.13090	3.62335
0.13526	3.62238
0.13526	3.61675
0.13526	3.62029
0.13963	3.61530
0.13963	3.61707
0.13963	3.61240
0.13963	3.61610
0.13963	3.61320
0.14399	3.61030
0.14399	3.60966
0.14399	3.61111
0.14835	3.60064
0.14835	3.60241
0.15272	3.59307
0.15272	3.58920
0.15708	3.58662
0.16144	3.58646
0.16144	3.57712
0.16581	3.57519
0.16581	3.57422
0.17017	3.56729
0.17017	3.57003
0.17017	3.56472
0.17017	3.56069
0.17017	3.56665
0.17453	3.56278
0.17453	3.55376
0.17453	3.55908
0.17453	3.55827
0.17453	3.55586
0.17453	3.56021
0.17453	3.56198
0.17453	3.55779
0.17453	3.55698
0.17453	3.56069
0.17453	3.55988
0.17453	3.55843
0.17453	3.55892
0.17890	3.55908
0.18762	3.53830
0.19635	3.52879
0.19635	3.51865
0.19635	3.52283
0.19635	3.52010
0.20071	3.51623
0.20071	3.51269
0.20508	3.50898
0.20944	3.50334
0.20944	3.49625
0.20944	3.49964
0.21380	3.48901
0.21380	3.48820
0.21817	3.48417
0.21817	3.47934
0.22253	3.47241
0.22253	3.46984
0.22689	3.46194
0.22689	3.45486
0.23126	3.45469
0.23126	3.44857
