Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.51638
180.00000	0.51525
180.00000	0.51847
180.00000	0.51605
180.00000	0.51654
180.00000	0.51847
180.00000	0.51847
180.00000	0.51702
180.00000	0.51718
180.00000	0.51428
180.00000	0.51605
180.00000	0.51670
180.00000	0.51589
180.00000	0.51750
180.00000	0.51460
180.00000	0.51750
180.00000	0.51783
180.00000	0.51332
180.00000	0.51509
180.00000	0.51767
180.00000	0.51815
180.00000	0.51315
180.00000	0.51460
180.00000	0.50993
180.00000	0.49318
180.00000	0.50864
180.00000	0.53732
180.00000	0.55085
180.00000	0.51589
180.00000	0.50800
180.00000	0.51992
180.00000	0.52685
180.00000	0.51219
180.00000	0.51541
180.00000	0.51750
180.00000	0.51106
180.00000	0.52008
180.00000	0.50832
180.00000	0.51718
180.00000	0.52298
180.00000	0.52040
180.00000	0.51171
180.00000	0.51251
180.00000	0.51605
180.00000	0.51767
180.00000	0.51251
180.00000	0.51122
180.00000	0.51928
180.00000	0.50897
180.00000	0.51315
180.00000	0.52185
180.00000	0.51895
180.00000	0.51058
180.00000	0.52379
180.00000	0.51090
180.00000	0.51525
180.00000	0.51203
180.00000	0.51718
180.00000	0.51090
180.00000	0.51863
180.00000	0.51171
180.00000	0.51718
180.00000	0.51477
180.00000	0.51348
180.00000	0.52282
180.00000	0.52346
180.00000	0.52572
180.00000	0.52717
180.00000	0.52942
180.00000	0.53973
180.00000	0.53667
180.00000	0.53184
180.00000	0.53377
180.00000	0.53716
180.00000	0.54424
180.00000	0.54892
180.00000	0.55632
180.00000	0.55939
180.00000	0.57018
180.00000	0.56390
180.01667	0.57340
180.01667	0.57469
180.01667	0.57453
180.01667	0.57920
180.01667	0.58677
180.01667	0.58645
180.01667	0.58564
180.01667	0.60352
180.01667	0.59531
180.01667	0.61158
180.01667	0.61206
180.01667	0.62833
180.01667	0.63719
180.01667	0.64041
180.01667	0.65314
180.01667	0.65603
180.01667	0.67971
180.01667	0.69163
180.01667	0.67714
180.01667	0.68809
180.01667	0.67553
180.01667	0.67311
180.01667	0.67746
180.01667	0.66731
180.01667	0.68100
180.01667	0.67311
180.01667	0.68165
180.01667	0.67939
180.01667	0.65507
180.01667	0.65958
180.01667	0.65893
180.01667	0.64895
180.01667	0.65603
180.01667	0.65007
180.01667	0.65990
180.01667	0.64798
180.01667	0.65281
180.01667	0.65297
180.01667	0.65265
180.01667	0.65539
180.01667	0.65700
180.01667	0.64283
180.01667	0.61721
180.01667	0.62543
180.01667	0.62398
180.01667	0.62462
180.01667	0.61689
180.01667	0.60401
180.01667	0.61705
180.01667	0.61045
180.01667	0.61737
180.01667	0.62656
180.01667	0.63606
180.01667	0.64701
180.01667	0.63348
180.01667	0.62575
180.01667	0.63896
180.01667	0.64895
180.01667	0.64959
180.01667	0.67794
180.01667	0.66667
180.01667	0.66892
180.01667	0.64895
180.01667	0.62607
180.01667	0.63026
180.01667	0.65732
180.01667	0.67440
180.01667	0.69292
180.01667	0.69888
180.01667	0.70742
180.01667	0.70613
180.01667	0.72127
180.01667	0.71644
180.01667	0.75687
180.01667	0.74254
180.01667	0.79102
180.01667	0.80552
180.03333	0.83822
180.03333	0.85449
180.03333	0.85449
180.03333	0.89137
180.03333	0.89798
180.03333	0.94195
180.03333	0.97353
180.06667	1.21853
180.10000	1.87752
180.13333	2.15748
180.13333	2.24527
180.13333	2.34305
180.15000	2.49576
180.16667	2.68551
180.18333	2.88333
180.20000	3.03104
180.21667	3.15749
180.21667	3.28088
180.23333	3.34467
180.23333	3.43263
180.23333	3.52251
180.25000	3.57213
180.25000	3.62963
180.25000	3.70083
180.25000	3.70969
180.25000	3.77268
180.26667	3.80361
180.26667	3.86176
180.26667	3.82954
180.26667	3.84452
180.26667	3.85274
