Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.04119
180.00000	0.03668
180.00000	0.03780
180.00000	0.04135
180.00000	0.03845
180.00000	0.03893
180.00000	0.03506
180.00000	0.03909
180.00000	0.03909
180.00000	0.03812
180.00000	0.03684
180.00000	0.03668
180.00000	0.04102
180.00000	0.03716
180.00000	0.03845
180.00000	0.03877
180.00000	0.03684
180.00000	0.03748
180.00000	0.03764
180.00000	0.03651
180.00000	0.03877
180.00000	0.03748
180.00000	0.03764
180.00000	0.04022
180.00000	0.03603
180.00000	0.03780
180.00000	0.03941
180.00000	0.04264
180.00000	0.04086
180.00000	0.03716
180.00000	0.03925
180.00000	0.03780
180.00000	0.03668
180.00000	0.03829
180.00000	0.03506
180.00000	0.03877
180.00000	0.03877
180.00000	0.03716
180.00000	0.03909
180.00000	0.03812
180.00000	0.03668
180.00000	0.03845
180.00000	0.03136
180.00000	0.03587
180.00000	0.03474
180.00000	0.04843
180.00000	0.03796
180.00000	0.03845
180.00000	0.03587
180.00000	0.03893
180.00000	0.03651
180.00000	0.03877
180.00000	0.04135
180.00000	0.03909
180.00000	0.03635
180.00000	0.03651
180.00000	0.03732
180.00000	0.03812
180.00000	0.03925
180.00000	0.03700
180.00000	0.03474
180.00000	0.03200
180.00000	0.01090
180.00000	0.00043
180.00000	0.00092
180.00000	0.00140
180.00000	0.00349
180.00000	0.01187
180.00000	0.03168
180.00000	0.04408
180.00000	0.03716
180.00000	0.03829
180.00000	0.04086
180.00000	0.04280
180.00000	0.04215
180.00000	0.04231
180.00000	0.03265
180.00000	0.03265
180.00000	0.03200
180.00000	0.02717
180.00000	0.02943
180.00000	0.02782
180.00000	0.03265
180.00000	0.03555
180.00000	0.01960
180.00000	0.00559
180.00000	0.00414
180.00000	0.00398
180.00000	0.02266
180.00000	0.04054
180.00000	0.03072
180.00000	0.03023
180.00000	0.04119
180.00000	0.02959
180.00000	0.00172
180.00000	0.00381
180.00000	0.00269
180.00000	0.00156
180.00000	0.00333
180.00000	0.00301
180.00000	0.00285
180.00000	0.02314
180.00000	0.02701
180.00000	0.02169
180.00000	0.00349
180.00000	0.00269
180.00000	0.00172
180.00000	0.00285
180.00000	0.00301
180.00000	0.00220
180.00000	0.00236
180.00000	0.00398
180.00000	0.00269
180.00000	0.00204
180.00000	0.00172
180.00000	0.00059
180.00000	0.00059
180.00000	0.00059
180.00000	0.00204
180.00000	0.00285
180.00000	0.00156
180.00000	0.00220
180.00000	0.01139
180.00000	0.01831
180.00000	0.01928
180.00000	0.01557
180.00000	0.02105
180.00000	0.01831
180.00000	0.00543
180.00000	0.00398
180.00000	0.00575
180.00000	0.00398
180.00000	0.00172
180.00000	0.00446
180.00000	0.00414
180.00000	0.00188
180.00000	0.00478
180.00000	0.00365
180.00000	0.00430
180.00000	0.02186
180.00000	0.03216
180.00000	0.03378
180.00000	0.03668
180.00000	0.03506
180.00000	0.03555
180.00000	0.03829
180.00000	0.03796
180.00000	0.03990
180.00000	0.03974
180.00000	0.04296
180.00000	0.04425
180.00000	0.04634
180.00000	0.05037
180.00000	0.04811
180.00000	0.05456
180.00000	0.05327
180.00000	0.05697
180.00000	0.06229
180.00000	0.06068
180.00000	0.06519
180.00000	0.06921
180.00000	0.07131
180.00000	0.07276
180.00000	0.07582
180.00000	0.07952
180.00000	0.08146
180.01667	0.08645
180.01667	0.09257
180.01667	0.10272
180.01667	0.10981
180.01667	0.11061
180.01667	0.11979
180.01667	0.13864
180.03333	0.18358
180.08333	0.43745
180.11667	0.70017
180.13333	0.88703
180.16667	1.04682
180.20000	1.22949
180.25000	1.49865
180.30000	1.75429
180.33333	1.90909
180.35000	2.01670
180.38333	2.09418
180.40000	2.15458
180.41667	2.22820
180.43333	2.29714
180.45000	2.33387
180.46667	2.38042
180.46667	2.39750
180.48333	2.41038
180.48333	2.42246
180.48333	2.43938
180.48333	2.43165
180.48333	2.41135
180.48333	2.40458
180.48333	2.40136
180.48333	2.39540
180.48333	2.37672
180.48333	2.35626
180.48333	2.31921
180.48333	2.25462
180.48333	2.23835
180.48333	2.23239
180.48333	2.23690
180.48333	2.22562
180.48333	2.21853
180.48333	2.20549
180.48333	2.19566
180.48333	2.19453
180.48333	2.19421
180.48333	2.19791
180.48333	2.21402
180.48333	2.22208
180.48333	2.22884
180.48333	2.23029
180.48333	2.22981
180.48333	2.23593
180.48333	2.23738
180.48333	2.22691
180.48333	2.23577
180.48333	2.23529
180.48333	2.23818
180.48333	2.24141
180.48333	2.23319
180.48333	2.23674
180.48333	2.22949
180.48333	2.24543
180.48333	2.24849
180.48333	2.25172
180.48333	2.25751
180.48333	2.27459
180.48333	2.27991
180.48333	2.27894
180.48333	2.27781
180.48333	2.27668
180.48333	2.27894
180.48333	2.28506
180.48333	2.29456
180.48333	2.25961
180.48333	2.26203
180.48333	2.28023
180.48333	2.28699
180.48333	2.27878
180.48333	2.27105
180.48333	2.27604
180.48333	2.27749
180.48333	2.27894
180.48333	2.27620
180.48333	2.27894
180.48333	2.27974
180.48333	2.27523
180.48333	2.26815
180.48333	2.25413
180.48333	2.17005
180.48333	2.05793
180.48333	2.14588
180.48333	2.25107
180.48333	2.27137
180.48333	2.27926
180.48333	2.28232
180.48333	2.28796
180.48333	2.29231
180.48333	2.28425
180.48333	2.28152
180.48333	2.28409
180.48333	2.27684
180.48333	2.26541
180.48333	2.24576
180.48333	2.19759
180.48333	2.08435
180.48333	1.81244
180.48333	1.86157
180.48333	2.15410
180.48333	2.25526
180.48333	2.27636
180.48333	2.28780
180.48333	2.28442
180.48333	2.28281
180.48333	2.28345
180.48333	2.28748
180.48333	2.27894
180.48333	2.18374
180.48333	0.48432
180.48333	0.09724
180.48333	0.16763
180.48333	1.60416
180.48333	2.25655
180.48333	2.28345
180.48333	2.26009
180.48333	1.23367
180.48333	0.00832
180.48333	0.00478
180.48333	0.00301
180.48333	0.01590
180.48333	2.18777
180.48333	2.28715
180.48333	2.25188
180.48333	1.59740
180.48333	0.71257
180.48333	1.95742
180.48333	2.27717
180.48333	2.27443
180.48333	0.18841
180.48333	0.00253
180.48333	0.00301
180.48333	0.00430
180.48333	2.17987
180.48333	2.27701
180.48333	2.23835
180.48333	2.27056
180.48333	2.27942
180.48333	2.06309
180.48333	0.01541
180.48333	0.00414
180.48333	0.00381
180.48333	0.01590
180.48333	1.50945
180.48333	2.23400
180.48333	2.27443
180.48333	2.27781
180.48333	2.28425
180.48333	2.28409
180.48333	2.28393
180.48333	2.28425
180.48333	2.28844
180.48333	2.28925
180.48333	2.28941
180.48333	2.29553
180.48333	2.30375
180.48333	2.32195
180.48333	2.33129
180.48333	2.33355
180.48333	2.34563
180.48333	2.35771
180.48333	2.37946
180.48333	2.39395
180.48333	2.43245
180.48333	2.45291
180.50000	2.46580
180.51667	2.49366
180.56667	2.50140
180.60000	2.50011
180.61667	2.50172
180.63333	2.50027
180.65000	2.49930
180.66667	2.49060
180.70000	2.44550
180.73333	2.35433
180.75000	2.24801
180.78333	2.10400
180.80000	1.88767
180.85000	1.32775
180.91667	0.27443
180.96667	0.06358
181.00000	0.03474
181.03333	0.02347
181.06667	0.01976
181.08333	0.01525
181.10000	0.01477
181.11667	0.01445
181.13333	0.00994
181.13333	0.00945
181.13333	0.01106
181.15000	0.01074
181.15000	0.01106
181.15000	0.01171
181.16667	0.00752
181.16667	0.00704
181.16667	0.00865
181.18333	0.01122
181.18333	0.00929
181.20000	0.00961
181.20000	0.00897
181.20000	0.00655
181.20000	0.01638
181.20000	0.00768
181.20000	0.00526
181.20000	0.01139
181.21667	0.01058
181.21667	0.00784
181.21667	0.00913
181.21667	0.00832
181.21667	0.01042
181.21667	0.00881
181.21667	0.00865
181.21667	0.00800
181.21667	0.00623
181.21667	0.00897
181.21667	0.00865
181.21667	0.00752
181.21667	0.00736
181.21667	0.00559
181.21667	0.00816
181.21667	0.01058
181.21667	0.01042
181.21667	0.01155
181.21667	0.00510
181.21667	0.00881
181.21667	0.01042
181.21667	0.00784
181.21667	0.01171
181.21667	0.01042
181.21667	0.01010
181.21667	0.00736
181.21667	0.00977
181.21667	0.00816
181.21667	0.00897
181.21667	0.01074
181.21667	0.00591
181.21667	0.00607
181.21667	0.00977
181.21667	0.01106
181.21667	0.00945
181.21667	0.00800
181.21667	0.00832
181.21667	0.01058
181.21667	0.01155
181.21667	0.01058
181.21667	0.00591
181.21667	0.00543
181.21667	0.00478
181.21667	0.00671
181.21667	0.00575
181.21667	0.00365
181.21667	0.00671
181.21667	0.00639
181.21667	0.01960
181.21667	0.00688
181.21667	0.00897
181.21667	0.00865
181.21667	0.01863
181.21667	0.00543
181.21667	0.00317
181.21667	0.00559
181.21667	0.00881
181.21667	0.01074
181.21667	0.00784
181.21667	0.00414
181.21667	0.00623
181.21667	0.00655
