Polarization of Light 'theta' Data File Wed, Jan 25, 2023 2:53 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	3.69197
0.00000	3.69262
0.00000	3.69375
0.00000	3.69310
0.00000	3.69358
0.00000	3.69632
0.00000	3.69342
0.00000	3.69423
0.00000	3.68972
0.00000	3.68988
0.00000	3.69020
0.00000	3.69487
0.00000	3.68972
0.00000	3.69020
0.00000	3.69165
0.00000	3.68811
0.00000	3.68730
0.00000	3.68956
0.00000	3.69085
0.00000	3.69004
0.00000	3.68714
0.00000	3.68505
0.00000	3.68521
0.00000	3.68408
0.00000	3.68956
0.00000	3.68875
0.00000	3.69101
0.00000	3.69230
0.00000	3.69036
0.00000	3.69117
0.00000	3.69036
0.00000	3.69761
0.00000	3.69761
0.00000	3.68762
0.00000	3.69568
0.00000	3.68827
0.00000	3.68762
0.00000	3.69294
0.00000	3.68891
0.00000	3.68537
0.00000	3.68199
0.00000	3.68473
0.00000	3.69069
0.00000	3.68746
0.00000	3.68344
0.00000	3.68118
0.00000	3.68617
0.00000	3.68585
0.00000	3.67909
0.00000	3.68617
0.00000	3.69020
0.00000	3.68328
0.00000	3.68473
0.00000	3.68553
0.00000	3.68634
0.00000	3.68682
0.00000	3.69665
0.00436	3.69632
0.00436	3.69922
0.01745	3.69423
0.02618	3.69713
0.03054	3.69278
0.03491	3.69069
0.04363	3.68940
0.05236	3.68102
0.06109	3.67973
0.06109	3.67442
0.06981	3.66491
0.07854	3.66072
0.08290	3.65734
0.09163	3.65090
0.09599	3.64236
0.10036	3.64059
0.10036	3.63608
0.10472	3.63672
0.10472	3.63092
0.10472	3.62818
0.10908	3.63447
0.10908	3.64574
0.10908	3.64494
0.10908	3.64300
0.11345	3.64220
0.11345	3.64413
0.11345	3.64220
0.11345	3.64284
0.11345	3.64510
0.11781	3.64494
0.11781	3.64252
0.11781	3.63882
0.11781	3.63898
0.11781	3.64252
0.12217	3.64091
0.12217	3.64220
0.12217	3.64059
0.12217	3.63978
0.12217	3.63914
0.12217	3.63882
0.12217	3.63849
0.12654	3.63543
0.12654	3.63189
0.13090	3.63141
0.13090	3.62979
0.13526	3.62351
0.13526	3.62190
0.13526	3.62963
0.13963	3.62094
0.13963	3.61852
0.14399	3.61095
0.14835	3.61401
0.14835	3.61175
0.15272	3.60563
0.15272	3.59629
0.15708	3.59613
0.15708	3.60080
0.16144	3.59709
0.16144	3.59452
0.16581	3.58582
0.16581	3.58662
0.17017	3.58179
0.17017	3.58115
0.17017	3.58115
0.17453	3.57921
0.17453	3.57841
0.17453	3.57937
0.17453	3.57567
0.17453	3.56745
0.17890	3.57277
0.17890	3.56874
0.18326	3.56729
0.18326	3.56907
0.18326	3.56359
0.18762	3.55779
0.18762	3.55924
0.18762	3.55618
0.19199	3.55811
0.19199	3.55312
0.19199	3.54941
0.19635	3.54265
0.19635	3.54297
0.20071	3.53943
0.20071	3.52718
0.20508	3.53073
0.20508	3.52879
0.20508	3.51881
0.20508	3.52122
0.20508	3.51977
0.20944	3.51252
0.20944	3.52058
0.20944	3.52058
0.20944	3.51365
0.20944	3.51736
0.20944	3.51816
0.20944	3.52509
0.20944	3.52171
0.20944	3.52154
0.20944	3.52348
0.20944	3.52251
0.20944	3.52219
0.20944	3.52251
0.20944	3.52396
0.20944	3.52090
0.20944	3.51639
0.20944	3.51124
0.20944	3.51832
0.20944	3.52122
0.21380	3.52686
0.22253	3.51333
0.23562	3.50576
0.23998	3.48514
0.23998	3.48788
0.23998	3.48401
0.24435	3.47161
0.24871	3.46033
0.25307	3.43907
0.25744	3.43198
0.26180	3.42135
0.26180	3.41571
0.26616	3.41507
0.27053	3.41152
0.27053	3.40170
0.27489	3.39558
0.27925	3.39316
0.27925	3.38639
0.28362	3.38043
0.28362	3.37770
0.28798	3.37141
0.29234	3.36433
0.29234	3.36062
0.29671	3.35659
0.30107	3.35160
0.30107	3.34516
0.30543	3.34612
0.30543	3.33678
0.30980	3.33517
0.30980	3.33146
0.31416	3.33066
0.31416	3.32566
0.31416	3.31487
0.31852	3.31809
0.31852	3.30682
0.32289	3.30505
0.32289	3.30134
0.32289	3.29844
0.32725	3.29876
0.32725	3.29184
0.33161	3.28765
0.33161	3.29409
0.33598	3.28282
0.33598	3.28572
0.34034	3.28153
0.34034	3.27814
0.34034	3.26945
0.34470	3.26993
0.34907	3.26735
0.34907	3.26252
0.35343	3.25012
0.35779	3.24738
0.35779	3.24013
0.36216	3.23030
0.36652	3.22418
0.37088	3.21951
0.37088	3.21323
0.37525	3.20308
0.37525	3.20115
0.37961	3.18633
0.38397	3.18069
0.38397	3.17940
0.38834	3.16377
0.39270	3.15685
0.39270	3.15218
0.39706	3.15008
0.39706	3.13349
0.40143	3.13188
0.40143	3.12866
0.40579	3.12624
0.40579	3.10466
0.41015	3.10208
0.41452	3.08726
0.41888	3.08178
0.41888	3.08049
0.42324	3.07260
0.42761	3.06068
0.43197	3.04812
0.43197	3.04264
0.43633	3.03571
0.44070	3.03313
0.44070	3.02395
0.44506	3.01896
0.44942	3.00897
0.44942	2.99882
0.45379	2.99254
0.45815	2.98384
0.45815	2.97144
0.46251	2.95968
0.46688	2.95114
0.47124	2.94180
0.47124	2.93455
0.47560	2.92827
0.47997	2.91876
0.47997	2.90749
0.48433	2.89235
0.48869	2.88478
0.49306	2.87302
0.49742	2.86545
0.49742	2.85369
0.50178	2.83742
0.50615	2.83065
0.50615	2.82695
0.51051	2.81390
0.51487	2.80327
0.51487	2.79908
0.51924	2.79102
0.52360	2.77524
0.52796	2.76654
0.53233	2.75977
0.53233	2.76090
0.53233	2.75043
0.53233	2.75575
0.53233	2.74995
0.53233	2.74963
0.53233	2.74866
0.53233	2.75172
0.53233	2.74834
0.53233	2.75397
0.53233	2.75526
0.53233	2.75301
0.53233	2.75736
0.53233	2.75945
0.53233	2.75430
0.53233	2.75768
0.54105	2.72127
0.55414	2.68084
0.56287	2.64830
0.57160	2.61705
0.57160	2.61915
0.57596	2.60658
0.58032	2.59305
0.58469	2.56986
0.58905	2.54505
