Polarization of Light 'theta' Data File Wed, Jan 25, 2023 3:25 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.62801
0.00000	0.62301
0.00000	0.62623
0.00000	0.62704
0.00000	0.62285
0.00000	0.62398
0.00000	0.62366
0.00000	0.62543
0.00000	0.62414
0.00000	0.62672
0.00000	0.62575
0.00000	0.62285
0.00000	0.62543
0.00000	0.62495
0.00000	0.62333
0.00000	0.62559
0.00000	0.62623
0.00000	0.62430
0.00000	0.62656
0.00000	0.62543
0.00000	0.62269
0.00000	0.62736
0.00000	0.62752
0.00000	0.62108
0.00000	0.62704
0.00000	0.62656
0.00000	0.62317
0.00000	0.62511
0.00000	0.62478
0.00000	0.62333
0.00000	0.62591
0.00000	0.62591
0.00000	0.62205
0.00000	0.62317
0.00000	0.62398
0.00000	0.62511
0.00000	0.62478
0.00000	0.62575
0.00000	0.62833
0.00000	0.62462
0.00436	0.62430
0.00436	0.62527
0.00873	0.62495
0.01309	0.62398
0.02182	0.62495
0.02618	0.62237
0.03054	0.62350
0.03491	0.62511
0.03927	0.62285
0.03927	0.61979
0.04363	0.62301
0.04363	0.62092
0.04800	0.62124
0.05236	0.61882
0.05236	0.61995
0.05672	0.61786
0.06109	0.61721
0.06109	0.61544
0.06545	0.61721
0.06981	0.61158
0.07418	0.61480
0.07418	0.61367
0.07418	0.61190
0.07854	0.61141
0.08290	0.60980
0.08290	0.60932
0.08727	0.60916
0.08727	0.60787
0.09163	0.60594
0.09163	0.60723
0.09599	0.60256
0.10036	0.60143
0.10472	0.59966
0.10472	0.59917
0.10908	0.59676
0.11345	0.58886
0.11781	0.59515
0.11781	0.59402
0.12217	0.59289
0.12654	0.59305
0.12654	0.59740
0.13090	0.58774
0.13090	0.58886
0.13526	0.58596
0.13526	0.58468
0.13963	0.58065
0.14399	0.57823
0.14399	0.57823
0.14399	0.57775
0.14835	0.57855
0.14835	0.57517
0.15272	0.57388
0.15272	0.57388
0.15272	0.57469
0.15708	0.57179
0.15708	0.57066
0.15708	0.56937
0.16144	0.56599
0.16144	0.56728
0.16581	0.56776
0.16581	0.56502
0.16581	0.56309
0.17017	0.56422
0.17017	0.56067
0.17017	0.56164
0.17453	0.55745
0.17453	0.55713
0.17890	0.55568
0.17890	0.55246
0.17890	0.55536
0.18326	0.55262
0.18326	0.55133
0.18326	0.54972
0.18326	0.55117
0.18326	0.55149
0.18762	0.54666
0.18762	0.54988
0.18762	0.54698
0.18762	0.54489
0.19199	0.54682
0.19199	0.54054
0.19199	0.54521
0.19635	0.54279
0.19635	0.54231
0.19635	0.53732
0.20071	0.53796
0.20508	0.53297
0.20508	0.53410
0.20508	0.52926
0.20944	0.53104
0.20944	0.52749
0.20944	0.52878
0.21380	0.52636
0.21380	0.52185
0.21380	0.52395
0.21817	0.52024
0.21817	0.52105
0.21817	0.51686
0.22253	0.51799
0.22253	0.51702
0.22253	0.51557
0.22689	0.51509
0.22689	0.51283
0.23126	0.51154
0.23126	0.50784
0.23126	0.50832
0.23562	0.50736
0.23562	0.50252
0.23562	0.50301
0.23998	0.50317
0.23998	0.50091
0.23998	0.49689
0.23998	0.49946
0.24435	0.49834
0.24435	0.49656
0.24435	0.49060
0.24871	0.49656
0.24871	0.48948
0.24871	0.48996
0.25307	0.48835
0.25307	0.48819
0.25307	0.48754
0.25744	0.48303
0.25744	0.48239
0.25744	0.48174
0.26180	0.48046
0.26180	0.47901
0.26180	0.47820
0.26616	0.47627
0.26616	0.47192
0.27053	0.47192
0.27053	0.46773
0.27489	0.46660
0.27489	0.46515
0.27489	0.46499
0.27925	0.46354
0.27925	0.46016
0.27925	0.45645
0.28362	0.45855
0.28362	0.45484
0.28362	0.45291
0.28798	0.45452
0.28798	0.45114
0.28798	0.44937
0.28798	0.45066
0.29234	0.44534
0.29671	0.44357
0.29671	0.44389
0.29671	0.44002
0.30107	0.43890
0.30107	0.43439
0.30543	0.43358
0.30543	0.42939
0.30980	0.42923
0.30980	0.42520
0.30980	0.42504
0.31416	0.42295
0.31416	0.42295
0.31852	0.41779
0.31852	0.41409
0.32289	0.41361
0.32289	0.41087
0.32725	0.40749
0.32725	0.40668
0.33161	0.40346
0.33161	0.39975
0.33598	0.39685
0.33598	0.39702
0.34034	0.39283
0.34470	0.38928
0.34470	0.38542
0.34470	0.38268
0.34907	0.38203
0.34907	0.37688
0.35343	0.37527
0.35343	0.37301
0.35779	0.36818
0.36216	0.36770
0.36216	0.36206
0.36652	0.36109
0.37088	0.35803
0.37088	0.35175
0.37525	0.34966
0.37961	0.34450
0.37961	0.34257
0.37961	0.34048
0.38397	0.34064
0.38397	0.33758
0.38397	0.33629
0.38834	0.33419
0.39270	0.33210
0.39270	0.32646
0.39270	0.32598
0.39270	0.32614
0.39706	0.32260
0.39706	0.32276
0.39706	0.32276
0.39706	0.32243
0.39706	0.31970
0.40143	0.31889
0.40143	0.31519
0.40579	0.31535
0.40579	0.31116
0.41015	0.30745
0.41452	0.29908
0.41888	0.29924
0.41888	0.29553
0.41888	0.29634
0.42324	0.29457
0.42324	0.29054
0.42324	0.28990
0.42324	0.28732
0.42761	0.28941
0.42761	0.28410
0.42761	0.27975
0.43197	0.28200
0.43197	0.27830
0.43633	0.27459
0.44070	0.27024
0.44070	0.26702
0.44506	0.26380
0.44506	0.26300
0.44942	0.25993
0.45379	0.25607
0.45379	0.25220
0.45815	0.24801
0.46251	0.24334
0.46688	0.23787
0.47124	0.23191
0.47560	0.23013
0.47560	0.22804
0.47997	0.22466
0.47997	0.22369
0.48433	0.22095
0.48433	0.21628
0.48869	0.21419
0.48869	0.21193
0.48869	0.21145
0.49306	0.20952
0.49306	0.20468
0.49742	0.20581
0.49742	0.20372
0.50178	0.19921
0.50178	0.19647
0.50615	0.19131
0.51051	0.18938
0.51051	0.18809
0.51051	0.18825
0.51051	0.18439
0.51487	0.18262
0.51487	0.17778
0.51924	0.17939
0.51924	0.17666
0.51924	0.17585
