Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.61238
0.00000	0.61190
0.00000	0.61077
0.00000	0.60948
0.00000	0.61109
0.00000	0.61093
0.00000	0.61061
0.00000	0.61061
0.00000	0.61158
0.00000	0.60964
0.00000	0.60900
0.00000	0.61270
0.00000	0.61238
0.00000	0.61109
0.00000	0.61383
0.00000	0.61061
0.00000	0.61174
0.00000	0.60948
0.00000	0.60980
0.00000	0.61174
0.00000	0.61077
0.00000	0.60980
0.00000	0.61158
0.00000	0.61238
0.00000	0.61222
0.00000	0.61270
0.00436	0.61125
0.00873	0.61077
0.01309	0.60900
0.01745	0.60884
0.02182	0.60787
0.02618	0.60787
0.03054	0.60368
0.03491	0.60368
0.03927	0.60191
0.04363	0.60078
0.04800	0.59869
0.05236	0.59627
0.05672	0.59595
0.06109	0.59160
0.06545	0.59176
0.07418	0.58774
0.07854	0.58564
0.07854	0.58178
0.08290	0.58210
0.09163	0.57936
0.09599	0.57469
0.09599	0.57340
0.10036	0.57292
0.10472	0.56744
0.11345	0.56583
0.11781	0.56277
0.12217	0.55616
0.13090	0.55391
0.13526	0.54585
0.13963	0.54940
0.14399	0.54376
0.14835	0.54102
0.15272	0.53538
0.15708	0.53313
0.16144	0.52443
0.17453	0.51944
0.18326	0.51267
0.18762	0.50655
0.19199	0.50317
0.20071	0.49656
0.20508	0.48545
0.20944	0.48497
0.21380	0.47836
0.22253	0.47047
0.23126	0.46644
0.23562	0.45774
0.23562	0.45935
0.23998	0.45372
0.24435	0.44921
0.24871	0.44421
0.25307	0.43551
0.25744	0.43213
0.26180	0.43004
0.26616	0.42166
0.27489	0.41876
0.27925	0.40732
0.28798	0.40104
0.29234	0.39653
0.29671	0.39202
0.30543	0.38091
0.30980	0.37591
0.31416	0.37479
0.31416	0.36979
0.31852	0.36721
0.32289	0.36222
0.32289	0.35819
0.32725	0.35739
0.32725	0.35288
0.33161	0.34821
0.33598	0.34466
0.34034	0.33838
0.34470	0.33435
0.34907	0.33162
0.34907	0.32533
0.35343	0.32340
0.36216	0.31792
0.36652	0.30778
0.36652	0.30971
0.37088	0.30488
0.37525	0.29682
0.37961	0.29586
0.37961	0.29070
0.38397	0.28635
0.38834	0.28088
0.38834	0.27959
0.39270	0.27926
0.39270	0.27588
0.39706	0.27459
0.39706	0.27121
0.39706	0.27169
0.39706	0.26944
0.39706	0.26670
0.40143	0.26831
0.40143	0.26767
0.40143	0.27073
0.40143	0.26783
0.40143	0.26606
0.40143	0.26734
0.40143	0.26622
0.40143	0.26751
0.40143	0.26686
0.40143	0.26751
0.40143	0.26686
0.40143	0.26686
0.40143	0.26847
0.40143	0.26702
0.40143	0.26831
0.40143	0.27008
0.40143	0.26670
0.40143	0.26638
0.40143	0.26670
0.40143	0.26896
0.40143	0.26767
0.40143	0.26863
0.40143	0.26815
0.40143	0.26686
0.40143	0.26912
0.40143	0.26928
0.40143	0.26686
0.40143	0.26606
0.40143	0.27121
0.40143	0.26589
0.40143	0.26799
0.40143	0.26847
0.40143	0.26686
0.40143	0.26606
0.40143	0.26896
0.40143	0.26734
0.40143	0.26670
0.40143	0.26751
0.40143	0.26477
0.40143	0.26396
0.40143	0.26686
0.40143	0.26573
0.40143	0.26525
0.40143	0.26541
0.40143	0.26557
0.40143	0.26815
0.40143	0.26364
0.40143	0.26348
0.40143	0.26396
0.40143	0.26251
0.40143	0.26332
0.40143	0.26332
0.40143	0.26219
0.40143	0.26622
0.40579	0.26332
0.40579	0.26267
0.40579	0.26155
0.40579	0.26300
0.40579	0.26155
0.40579	0.26235
0.40579	0.26203
0.40579	0.26300
0.40579	0.26155
0.40579	0.26348
0.40579	0.26090
0.40579	0.26300
0.40579	0.26074
0.40579	0.26251
0.40579	0.26235
0.40579	0.26235
0.40579	0.26267
0.40579	0.26058
0.40579	0.25993
0.40579	0.26267
0.40579	0.26396
0.40579	0.25848
0.40579	0.26267
0.40579	0.26396
0.40579	0.26090
0.40579	0.26026
0.40579	0.26332
0.40579	0.26090
0.40579	0.26203
0.40579	0.26106
0.40579	0.26203
0.40579	0.26380
0.40579	0.26332
0.40579	0.26138
0.40579	0.26074
0.40579	0.26444
0.40579	0.26155
0.40579	0.26316
0.40579	0.26219
0.40579	0.26187
0.40579	0.26300
0.40579	0.26267
0.40579	0.25993
0.40579	0.26187
0.40579	0.26106
0.40579	0.26267
0.40579	0.26380
0.40579	0.26461
0.40579	0.26106
0.40579	0.26396
0.40579	0.26573
0.40579	0.26171
0.40579	0.26267
0.40579	0.26428
0.40579	0.26348
0.40579	0.26300
0.40579	0.26348
0.40579	0.26477
0.40579	0.26541
0.40579	0.26074
0.40579	0.26267
0.40579	0.26525
0.40579	0.26316
0.40579	0.25913
0.40579	0.26300
0.40579	0.26493
0.40579	0.26316
0.40579	0.26396
0.40579	0.26396
0.40579	0.26138
0.40579	0.26138
0.40579	0.26509
0.40579	0.26396
0.40579	0.26477
0.40579	0.26348
0.40579	0.26267
0.40579	0.26380
0.40579	0.26283
0.40579	0.26557
0.40579	0.26557
0.40579	0.26251
0.40579	0.26606
0.40579	0.26235
0.40579	0.26283
0.40579	0.26203
0.40579	0.26364
0.40579	0.26380
0.40579	0.26444
0.40579	0.26251
0.40579	0.26332
0.40579	0.25913
0.40579	0.26106
0.40579	0.26332
0.40579	0.26171
0.40579	0.25945
0.40579	0.25945
0.40579	0.26171
0.40579	0.26106
0.40579	0.25961
0.40579	0.25655
0.40579	0.26171
0.40579	0.25784
0.40579	0.25800
0.40579	0.25816
0.40579	0.25736
0.40579	0.25768
0.41015	0.25285
0.41015	0.25704
0.41015	0.25365
0.41015	0.25671
0.41015	0.25446
0.41015	0.25510
0.41015	0.25301
0.41452	0.25108
0.43633	0.22917
0.44942	0.21161
0.44942	0.20952
0.44942	0.21129
0.44942	0.21290
0.44942	0.21032
0.45379	0.20871
0.45379	0.20565
0.45815	0.20307
0.45815	0.19905
0.45815	0.20178
0.46251	0.19599
0.46251	0.19760
0.46251	0.19518
0.46688	0.19405
0.46688	0.19228
0.46688	0.18906
0.47124	0.18713
0.47560	0.18423
0.47560	0.18439
0.47997	0.17955
0.47997	0.17762
0.48433	0.17649
0.48433	0.17392
0.48869	0.16989
0.48869	0.16683
0.49306	0.16345
0.49306	0.16393
0.49742	0.16200
0.49742	0.15588
0.50178	0.15475
0.50615	0.14927
0.51051	0.14879
0.51051	0.14428
0.51487	0.14122
0.51487	0.13671
0.51924	0.13622
0.52360	0.13429
0.52796	0.13026
0.52796	0.12382
0.53233	0.12559
0.53669	0.11899
0.54105	0.11673
0.54542	0.11416
0.54978	0.10836
0.54978	0.10771
0.55414	0.10288
0.55414	0.10336
0.55851	0.09885
0.55851	0.09773
0.56287	0.09644
0.56287	0.09595
0.56723	0.09434
0.56723	0.09112
0.57160	0.08951
0.57160	0.08774
0.57160	0.08677
0.57596	0.08629
0.57596	0.08097
0.58032	0.07968
0.58469	0.07840
0.58469	0.07662
0.58905	0.07115
0.59341	0.06889
0.59778	0.06664
0.60214	0.06648
0.60214	0.06229
0.60650	0.05939
0.61087	0.05939
0.61087	0.05810
0.61523	0.05649
0.61523	0.05037
0.61959	0.05294
0.61959	0.05005
0.62396	0.04876
0.62396	0.04698
0.62832	0.04280
0.62832	0.04473
0.63268	0.04199
0.63268	0.04876
0.63705	0.03748
0.63705	0.03829
0.64141	0.03861
0.64141	0.03506
0.64141	0.03523
0.64577	0.03410
0.64577	0.03684
0.64577	0.03313
0.65014	0.03184
0.65014	0.03072
0.65450	0.03136
0.65450	0.02588
0.65450	0.02765
0.65886	0.02637
0.65886	0.02492
0.66323	0.02347
0.66759	0.02041
0.66759	0.02395
0.66759	0.01960
0.67195	0.01944
0.67195	0.02089
0.67632	0.01751
0.67632	0.01944
0.67632	0.01509
0.68068	0.01638
0.68068	0.01847
0.68068	0.01348
0.68068	0.01509
0.68068	0.01573
0.68068	0.01461
0.68068	0.01525
0.68068	0.01638
0.68068	0.01686
0.68068	0.01863
0.68068	0.02298
0.68068	0.01606
0.68068	0.01606
0.68068	0.01573
0.68068	0.01638
0.68068	0.01525
0.68068	0.01638
0.68068	0.01654
0.68068	0.01880
0.68068	0.01638
0.68068	0.01654
0.68504	0.01348
0.69377	0.00655
0.70250	0.00768
0.71122	0.00510
0.71995	-0.00231
0.72431	0.00188
0.72431	-0.00086
0.72867	-0.00231
0.73304	-0.00311
0.73740	-0.00295
0.74176	-0.00504
0.74613	-0.00633
