Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.00414
180.00000	0.00607
180.00000	0.00494
180.00000	0.00543
180.00000	0.00704
180.00000	0.00543
180.00000	0.00526
180.00000	0.00398
180.00000	0.00414
180.00000	0.00236
180.00000	0.00365
180.00000	0.00349
180.00000	0.00446
180.00000	0.00510
180.00000	0.00543
180.00000	0.00398
180.00000	0.00752
180.00000	0.00414
180.00000	0.00333
180.00000	0.00462
180.00000	0.00704
180.00000	0.00704
180.00000	0.00720
180.00000	0.00607
180.00000	0.00204
180.00000	0.00543
180.00000	0.00446
180.00000	0.00414
180.00000	0.00253
180.00000	0.00607
180.00000	0.00494
180.00000	0.00623
180.00000	0.00591
180.00000	0.00543
180.00000	0.00124
180.00000	0.00462
180.00000	0.00494
180.00000	0.00671
180.00000	0.00510
180.00000	0.00236
180.00000	0.00575
180.00000	0.00414
180.00000	0.00381
180.00000	0.00381
180.00000	0.00591
180.00000	0.00575
180.00000	0.00494
180.00000	0.00414
180.00000	0.00446
180.00000	0.00253
180.00000	0.00349
180.00000	0.00430
180.00000	0.00349
180.00000	0.00494
180.00000	0.00736
180.00000	0.00591
180.00000	0.00510
180.00000	0.00478
180.00000	0.00591
180.00000	0.00301
180.00000	0.00349
180.00000	0.00655
180.00000	0.00462
180.00000	0.00543
180.00000	0.00301
180.00000	0.00365
180.00000	0.00398
180.00000	0.00526
180.00000	0.00526
180.00000	0.00398
180.00000	0.00365
180.00000	0.00204
180.00000	0.00430
180.00000	0.00591
180.00000	0.00543
180.00000	0.00591
180.00000	0.00430
180.00000	0.00414
180.00000	0.00140
180.00000	0.00526
180.00000	0.00446
180.00000	0.00478
180.00000	0.00575
180.00000	0.00462
180.00000	0.00301
180.00000	0.00575
180.00000	0.00381
180.00000	0.00462
180.00000	0.00446
180.00000	0.00704
180.00000	0.00365
180.00000	0.00398
180.00000	0.00349
180.00000	0.00446
180.00000	0.00720
180.00000	0.00591
180.00000	0.00398
180.00000	0.00301
180.00000	0.00075
180.00000	0.00269
180.00000	0.00140
180.00000	0.00220
180.00000	0.00333
180.00000	0.00269
180.00000	0.00478
180.00000	0.00381
180.00000	0.00365
180.00000	0.00462
180.00000	0.00655
180.00000	0.00575
180.00000	0.00607
180.00000	0.00365
180.00000	0.00543
180.00000	0.00253
180.00000	0.00156
180.00000	0.00204
180.00000	0.00398
180.00000	0.00671
180.00000	0.00526
180.00000	0.00607
180.00000	0.00623
180.00000	0.00414
180.00000	0.00317
180.00000	0.00430
180.00000	0.00494
180.00000	0.00349
180.00000	0.00543
180.00000	0.00655
180.00000	0.00526
180.00000	0.00414
180.00000	0.00526
180.00000	0.00639
180.00000	0.00720
180.00000	0.00671
180.00000	0.00510
180.00000	0.00398
180.00000	0.00494
180.00000	0.00414
180.00000	0.00430
180.00000	0.00349
180.00000	0.00543
180.00000	0.00543
180.00000	0.00381
180.00000	0.00623
180.01667	0.01090
180.01667	0.01090
180.11667	0.09885
180.16667	0.39508
180.20000	0.56905
180.23333	0.72900
180.26667	0.88010
180.30000	1.03087
180.35000	1.20887
180.38333	1.39492
180.43333	1.57066
180.46667	1.70500
180.50000	1.78619
180.51667	1.84933
180.53333	1.86109
180.55000	1.89717
180.56667	1.94228
180.58333	1.96724
180.60000	1.97965
180.61667	1.99189
180.61667	2.00719
180.63333	2.01202
180.63333	2.00896
180.63333	2.00027
180.63333	1.99656
180.63333	1.98400
180.63333	1.98432
180.63333	1.97433
180.63333	1.96418
180.63333	1.96644
180.63333	1.97030
180.63333	1.97675
180.63333	1.96112
180.63333	1.95903
180.63333	1.95726
180.63333	1.95935
180.63333	1.96306
180.63333	1.96241
180.63333	1.95565
180.63333	1.96096
180.63333	1.97111
180.63333	1.96306
180.63333	1.95581
180.63333	1.94066
180.63333	1.88735
180.63333	1.88783
180.63333	1.89379
180.63333	1.89749
180.63333	1.90426
180.63333	1.93068
180.63333	1.94646
180.63333	1.94888
180.63333	1.95693
180.63333	1.95242
180.63333	1.94775
180.63333	1.94582
180.63333	1.94856
180.63333	1.95242
180.63333	1.95500
180.63333	1.95081
180.63333	1.95049
180.63333	1.95500
180.63333	1.94904
180.63333	1.94872
180.63333	1.94501
180.63333	1.94646
180.63333	1.94469
180.63333	1.94099
180.63333	1.95210
180.63333	1.95162
180.63333	1.94969
180.63333	1.94727
180.63333	1.89798
180.63333	1.89041
180.63333	1.93116
180.63333	1.95162
180.63333	1.96595
180.63333	1.95162
180.63333	1.92891
180.63333	1.90410
180.63333	1.91022
180.63333	1.94099
180.63333	1.95806
180.63333	1.96096
180.63333	1.95693
180.63333	1.95597
180.63333	1.95983
180.63333	1.96257
180.63333	1.94920
180.63333	1.91231
180.63333	1.89766
180.63333	1.93809
180.63333	1.95581
180.63333	1.96338
180.63333	1.95532
180.63333	1.94695
180.63333	1.90345
180.63333	1.85722
180.63333	1.89218
180.63333	1.94083
180.63333	1.95226
180.63333	1.95178
180.63333	1.95403
180.63333	1.95468
180.63333	1.95291
180.63333	1.95581
180.63333	1.95806
180.63333	1.95903
180.63333	1.95806
180.63333	1.95613
180.63333	1.95774
180.63333	1.95275
180.63333	1.95307
180.63333	1.95275
180.63333	1.95130
180.63333	1.95565
180.63333	1.95613
180.63333	1.95371
180.63333	1.95726
180.63333	1.95403
180.63333	1.96386
180.63333	1.98367
180.63333	2.01090
180.63333	2.02282
180.63333	2.02346
180.63333	2.03313
180.63333	2.03441
180.63333	2.02668
180.63333	2.02588
180.65000	2.03071
180.65000	2.02733
180.65000	2.01911
180.68333	2.01235
180.71667	1.98754
180.75000	1.97771
180.78333	1.94195
180.81667	1.88638
180.83333	1.81840
180.86667	1.72240
180.90000	1.55036
180.91667	1.40023
180.93333	1.27411
180.95000	0.99753
180.98333	0.56535
181.00000	0.29312
181.03333	0.13800
181.06667	0.04763
181.10000	0.02653
181.13333	0.01767
181.15000	0.01122
181.18333	0.01155
181.20000	0.00961
181.21667	0.00961
181.23333	0.00784
181.26667	0.00575
181.26667	0.00559
181.28333	0.00446
181.30000	0.00462
181.31667	0.00301
181.33333	0.00011
181.33333	0.00269
181.35000	0.00172
181.35000	0.00365
181.35000	0.00381
181.36667	0.00526
181.36667	0.00430
181.36667	0.00430
181.38333	0.00462
181.38333	0.00317
181.38333	0.01090
181.38333	0.00220
181.38333	0.00156
181.38333	0.00075
181.38333	0.00301
181.38333	0.00607
181.38333	0.00671
181.38333	0.01171
181.38333	0.01155
181.38333	0.01267
181.38333	0.01042
181.38333	0.00543
181.38333	0.00720
181.38333	0.00688
181.38333	0.00526
181.38333	0.01364
181.38333	0.01348
181.38333	0.01074
181.38333	0.01122
181.38333	0.01493
181.38333	0.01139
181.38333	0.00446
181.38333	0.00478
181.38333	0.00446
181.38333	0.00365
181.38333	0.00349
181.38333	0.00639
181.38333	0.00526
181.38333	0.00736
181.38333	0.00994
181.38333	0.01155
181.38333	0.00977
181.38333	0.00929
181.38333	0.01139
181.38333	0.01477
181.38333	0.01445
181.38333	0.00688
181.38333	0.00688
181.38333	0.01396
181.38333	0.01445
181.38333	0.01171
181.38333	0.00623
181.38333	0.00317
181.38333	0.00414
181.38333	0.00752
181.38333	0.00913
181.38333	0.01316
181.38333	0.01171
181.38333	0.01155
181.38333	0.01219
181.38333	0.01316
181.38333	0.01461
181.38333	0.01284
181.38333	0.01461
181.38333	0.01380
181.38333	0.01332
181.38333	0.01461
181.38333	0.01412
181.38333	0.01187
181.38333	0.01364
181.38333	0.00994
181.38333	0.00881
181.38333	0.01284
181.38333	0.01799
181.38333	0.01171
181.38333	0.00929
181.38333	0.01139
181.38333	0.01300
181.38333	0.01396
181.38333	0.01428
181.38333	0.01493
181.38333	0.01445
181.38333	0.01412
181.38333	0.01477
181.38333	0.01493
181.38333	0.01412
181.38333	0.01380
181.38333	0.01155
181.38333	0.01058
181.38333	0.01139
181.38333	0.01074
181.38333	0.01010
181.38333	0.01461
181.38333	0.01573
181.38333	0.01445
181.38333	0.01284
181.38333	0.01348
181.38333	0.01267
181.38333	0.01155
181.38333	0.01203
181.38333	0.01122
181.38333	0.01122
181.38333	0.01284
181.38333	0.01702
181.38333	0.01396
181.38333	0.01412
181.38333	0.01219
181.38333	0.01300
181.38333	0.01284
181.38333	0.01155
181.38333	0.01026
181.38333	0.00913
181.38333	0.00994
181.38333	0.01139
181.38333	0.01412
181.38333	0.01139
181.38333	0.01203
181.38333	0.01122
181.38333	0.00945
181.38333	0.01300
181.38333	0.01122
181.38333	0.01155
181.38333	0.01251
181.38333	0.01171
181.38333	0.01251
181.38333	0.01509
181.38333	0.01348
181.41667	0.00994
181.48333	0.00736
181.51667	0.00639
181.56667	0.00414
181.65000	0.01010
181.71667	0.01139
181.78333	0.01316
181.83333	0.01251
181.88333	0.01622
181.95000	0.01751
181.98333	0.01831
182.01667	0.01396
182.05000	0.01606
182.06667	0.01751
182.08333	0.01976
182.10000	0.01686
182.10000	0.01493
182.10000	0.01557
182.10000	0.01300
182.10000	0.01541
182.10000	0.01412
182.10000	0.01638
182.10000	0.01155
182.10000	0.01058
182.10000	0.01026
182.10000	0.01187
182.10000	0.01316
182.10000	0.01187
182.10000	0.00994
182.10000	0.01090
182.10000	0.01735
182.10000	0.01976
182.10000	0.00591
182.10000	0.00365
182.10000	0.00285
182.10000	0.00398
182.10000	0.00414
182.10000	0.00559
182.10000	0.00591
182.10000	0.01525
182.10000	0.01815
182.10000	0.01735
182.10000	0.01702
182.10000	0.01122
182.10000	0.00720
182.10000	0.01026
182.10000	0.00623
182.10000	0.00977
182.10000	0.01058
182.10000	0.00414
182.10000	0.00398
182.10000	0.00236
182.10000	0.00156
182.10000	0.00607
182.10000	0.01267
182.10000	0.01654
182.10000	0.01638
182.10000	0.00494
182.10000	0.00543
182.10000	0.00414
182.10000	0.00478
182.10000	0.00381
182.10000	0.00317
182.10000	0.00317
182.10000	0.00301
182.10000	0.00317
182.10000	0.00236
182.10000	0.00333
182.10000	0.00253
182.10000	0.01058
182.10000	0.00365
182.10000	0.00462
182.10000	0.00253
182.10000	0.00236
182.10000	0.00398
182.10000	0.00349
182.10000	0.00124
182.10000	0.00543
182.10000	0.00462
182.10000	0.00526
182.10000	0.00510
182.10000	0.00591
182.10000	0.01606
182.10000	0.01348
182.10000	0.00220
182.10000	0.00526
182.10000	0.00800
182.10000	0.00253
182.10000	0.00236
182.10000	0.00317
182.10000	0.00365
182.10000	0.00092
182.10000	0.00188
182.10000	0.00414
182.10000	0.00446
182.10000	0.00301
182.10000	0.00301
182.10000	0.00446
182.10000	0.00494
182.10000	0.00365
182.10000	0.00317
182.10000	0.00478
182.10000	0.00462
182.10000	0.00188
182.10000	0.00317
182.10000	0.00301
182.10000	0.00301
182.10000	0.00236
182.10000	0.00832
182.10000	0.02347
182.10000	0.02121
182.10000	0.02169
182.10000	0.02250
182.10000	0.01445
182.10000	0.00832
182.10000	0.00623
182.10000	0.00591
182.10000	0.00655
182.10000	0.01106
182.10000	0.01332
182.10000	0.02282
182.10000	0.01960
182.10000	0.02073
182.10000	0.01912
182.10000	0.01928
182.10000	0.02186
182.10000	0.02137
182.10000	0.02395
182.10000	0.02266
182.10000	0.02057
182.10000	0.02153
182.10000	0.02347
182.10000	0.02121
182.10000	0.02008
182.10000	0.01912
182.10000	0.02186
182.10000	0.02234
182.10000	0.02234
182.10000	0.02540
182.10000	0.02556
182.10000	0.02363
182.10000	0.02459
182.10000	0.02540
182.10000	0.02765
182.10000	0.02637
182.10000	0.02894
182.10000	0.03088
182.10000	0.02846
182.11667	0.02975
182.11667	0.03007
182.11667	0.03072
182.13333	0.02862
182.13333	0.03684
182.13333	0.04264
182.13333	0.05601
182.13333	0.07179
182.13333	0.08258
182.13333	0.10981
182.13333	0.09740
182.13333	0.08870
182.13333	0.07340
182.13333	0.05987
182.13333	0.04698
182.13333	0.04296
182.13333	0.04183
182.13333	0.03877
182.13333	0.03426
182.13333	0.03152
