Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	3.72216
180.00000	3.71620
180.00000	3.72925
180.00000	3.72715
180.00000	3.72570
180.00000	3.72587
180.00000	3.71942
180.00000	3.72184
180.00000	3.72812
180.00000	3.72844
180.00000	3.72216
180.00000	3.72925
179.98333	3.73312
179.98333	3.74729
179.98333	3.73618
179.98333	3.73779
179.98333	3.74568
179.96667	3.73827
179.96667	3.75164
179.96667	3.75003
179.96667	3.75696
179.95000	3.75487
179.95000	3.75906
179.95000	3.76115
179.93333	3.75648
179.93333	3.75358
179.93333	3.76002
179.91667	3.76776
179.91667	3.78161
179.91667	3.77984
179.90000	3.78548
179.90000	3.78645
179.90000	3.78661
179.88333	3.79466
179.88333	3.79321
179.88333	3.80948
179.88333	3.80078
179.86667	3.81174
179.86667	3.81802
179.85000	3.81625
179.83333	3.83301
179.83333	3.84638
179.78333	3.88054
178.88333	3.80852
177.70000	0.03283
177.58333	0.01640
177.58333	0.02043
177.58333	0.01576
177.58333	0.01543
177.60000	0.01817
177.60000	0.01850
177.60000	0.01914
177.60000	0.01205
177.60000	0.01253
177.60000	0.01688
177.60000	0.01108
177.60000	0.02220
177.60000	0.03235
177.60000	0.05700
177.60000	0.11403
177.60000	0.16688
177.58333	0.28304
177.58333	0.36650
177.58333	0.46413
177.58333	0.80955
177.58333	0.78200
177.58333	0.80037
177.58333	0.77749
177.58333	0.76074
177.58333	0.73593
177.58333	0.70129
177.58333	0.58158
177.58333	0.52600
177.58333	0.55419
177.58333	0.54920
177.58333	0.56611
177.58333	0.54694
177.58333	0.59318
177.58333	0.75574
177.58333	0.77363
177.58333	0.80601
177.58333	0.82534
177.58333	0.82985
177.58333	0.87142
177.58333	0.91573
177.58333	0.89897
177.58333	0.87867
177.58333	0.68034
177.60000	0.71047
177.61667	0.74124
177.63333	0.92894
177.65000	0.94279
177.65000	0.99516
177.65000	1.03769
177.65000	1.02061
177.65000	1.03737
177.65000	1.06637
177.63333	1.07330
177.63333	1.05686
177.61667	1.08232
177.60000	1.05171
177.56667	1.04011
177.41667	0.99113
176.81667	0.92797
176.70000	0.84258
176.71667	0.77685
176.71667	0.71901
176.71667	0.74865
176.73333	0.76187
176.73333	0.72852
176.73333	0.83743
176.73333	1.32189
176.73333	1.81135
176.73333	1.85840
176.73333	1.86097
176.73333	1.85260
176.73333	1.86436
176.73333	1.82746
176.73333	1.83423
176.73333	1.89513
176.73333	1.90254
176.73333	1.89851
176.73333	1.91027
176.73333	1.91640
176.73333	1.89900
176.73333	1.90480
176.73333	1.90061
176.73333	1.88997
176.73333	1.85517
176.73333	1.82472
176.73333	1.85147
176.75000	1.86097
176.75000	1.94282
176.75000	1.97343
176.75000	2.04464
176.75000	2.16387
176.75000	2.18207
176.75000	2.21961
176.73333	2.29259
176.73333	2.25554
176.73333	2.32143
176.73333	2.33303
176.71667	2.32788
176.71667	2.29437
176.71667	2.29839
176.70000	2.31306
176.70000	2.33336
176.68333	2.32772
176.61667	2.36348
175.86667	2.48690
175.23333	1.88288
