Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	3.70637
180.00000	3.71169
180.00000	3.70669
180.00000	3.70911
180.00000	3.70895
180.00000	3.70798
180.00000	3.70927
180.00000	3.72522
180.00000	3.72087
180.00000	3.71733
180.00000	3.71781
180.00000	3.71120
180.00000	3.71088
180.00000	3.69977
180.00000	3.71410
180.00000	3.70170
180.00000	3.69832
180.00000	3.69558
180.00000	3.68704
180.00000	3.69026
180.00000	3.68075
180.00000	3.68575
180.00000	3.69235
180.00000	3.69010
180.00000	3.70025
180.00000	3.69993
180.00000	3.70218
180.00000	3.70138
179.98333	3.70637
179.98333	3.70718
179.98333	3.69622
179.98333	3.70782
179.98333	3.69912
179.98333	3.70009
179.98333	3.70959
179.98333	3.70798
179.98333	3.72280
179.98333	3.73215
179.98333	3.73586
179.98333	3.74021
179.96667	3.74423
179.96667	3.73843
179.96667	3.73682
179.96667	3.73553
179.96667	3.75229
179.95000	3.75084
179.95000	3.76276
179.91667	3.76921
179.46667	3.79241
178.08333	0.19475
177.03333	0.04347
176.93333	0.03944
176.95000	0.03847
176.95000	0.03751
176.95000	0.04025
176.96667	0.04121
176.96667	0.03815
176.96667	0.04153
176.96667	0.04121
176.96667	0.03573
176.96667	0.04170
176.96667	0.03557
176.96667	0.03847
176.96667	0.03767
176.96667	0.03283
176.96667	0.03928
176.96667	0.03541
176.96667	0.04218
176.96667	0.03622
176.96667	0.03203
176.96667	0.03557
176.96667	0.03767
176.96667	0.04315
176.96667	0.11742
176.96667	0.23181
176.96667	1.19510
176.96667	2.43969
176.96667	2.94156
176.96667	2.42487
176.96667	2.45451
176.96667	2.68217
176.96667	2.85794
176.96667	2.86487
176.96667	2.92529
176.96667	2.86938
176.96667	2.76804
176.96667	2.77690
176.96667	2.78898
176.96667	2.78222
176.96667	2.93012
176.96667	2.92078
176.96667	2.91449
176.96667	2.91771
176.96667	2.91836
176.96667	2.92738
176.96667	2.92899
176.96667	2.93044
176.96667	2.91997
176.96667	2.92754
176.96667	2.91063
176.96667	2.91836
176.96667	2.91610
176.96667	2.91079
176.95000	2.90241
176.95000	2.89677
176.95000	2.90724
176.95000	2.91546
176.95000	2.91723
176.93333	2.91610
176.93333	2.91933
176.93333	2.92303
176.93333	2.92770
176.91667	2.92416
176.91667	2.92593
176.91667	2.93302
176.91667	2.93785
176.90000	2.93109
176.90000	2.93721
176.90000	2.92932
176.88333	2.94591
176.88333	2.93528
176.86667	2.94172
176.86667	2.94059
176.86667	2.93673
176.85000	2.94011
176.85000	2.93350
176.85000	2.94301
176.83333	2.94140
176.83333	2.93995
176.81667	2.94462
176.80000	2.93721
176.80000	2.92899
176.78333	2.91723
176.76667	2.92754
176.75000	2.91997
176.23333	3.00359
175.46667	2.95928
175.33333	2.77706
175.33333	2.67959
175.35000	2.66573
175.35000	2.65172
175.36667	2.64865
175.36667	2.63238
175.38333	2.64479
175.40000	2.64350
175.40000	2.64511
175.40000	2.64865
175.40000	2.71229
175.40000	2.93947
175.41667	2.91626
175.41667	2.89677
175.41667	2.87486
175.41667	2.87663
175.41667	2.61047
175.41667	1.91575
175.41667	1.94910
175.41667	2.12488
175.41667	2.22976
175.41667	2.45419
175.41667	2.68813
175.41667	2.64253
175.41667	2.64672
175.41667	2.66734
175.41667	2.87695
175.41667	2.90789
175.41667	2.86954
175.41667	2.86551
175.41667	2.85569
175.41667	2.84666
175.41667	2.83426
175.41667	2.82072
175.41667	2.82507
175.41667	2.81621
175.41667	2.80010
175.41667	2.80204
175.40000	2.81879
175.40000	2.82024
175.40000	2.84715
175.40000	2.83249
175.40000	2.84151
175.40000	2.83394
175.38333	2.85649
175.38333	2.85279
175.36667	2.87003
175.35000	2.86809
175.35000	2.87228
175.33333	2.87566
175.33333	2.88130
175.31667	2.87486
175.30000	2.87325
175.26667	2.88275
175.11667	2.90241
174.48333	2.87889
174.23333	2.88598
174.23333	2.89500
174.25000	2.89951
174.25000	2.89081
174.25000	2.89161
174.25000	2.89596
174.26667	2.87486
174.28333	2.85456
174.28333	2.85842
174.28333	2.83216
174.28333	2.82572
174.28333	2.83684
174.28333	2.83619
174.28333	2.83394
174.28333	2.83458
174.28333	2.83667
174.28333	2.73131
174.28333	2.18094
174.28333	1.42178
174.28333	1.10471
174.28333	1.23650
174.28333	1.44047
174.28333	1.46721
174.28333	1.46915
174.28333	1.38215
174.28333	1.47591
174.28333	1.91607
174.28333	1.87322
174.28333	1.84808
174.28333	1.76398
174.28333	1.90528
174.28333	2.13486
174.28333	2.11505
174.28333	2.10248
174.30000	2.09314
174.30000	2.09652
174.30000	2.07493
174.30000	2.08299
174.30000	2.07380
174.30000	2.06478
174.30000	2.06188
174.28333	2.05689
174.28333	2.07042
174.28333	2.06333
174.28333	2.06865
174.28333	2.07799
174.28333	2.09265
174.28333	2.09958
174.28333	2.10168
174.26667	2.10361
174.26667	2.12004
174.26667	2.10361
174.25000	2.12117
174.25000	2.13051
174.25000	2.13084
174.25000	2.15033
174.25000	2.14066
174.23333	2.14824
174.23333	2.14888
174.23333	2.17224
174.23333	2.15533
174.23333	2.17144
174.23333	2.16209
174.23333	2.16258
174.21667	2.14985
174.21667	2.15839
174.21667	2.17240
174.21667	2.17772
174.20000	2.16435
174.20000	2.16805
174.20000	2.16644
174.20000	2.16822
174.20000	2.17965
174.18333	2.17595
174.18333	2.16950
174.18333	2.19544
174.16667	2.18594
174.16667	2.20382
174.15000	2.22509
174.11667	2.23314
173.45000	2.63657
172.76667	2.68474
172.73333	2.66283
172.73333	2.65655
172.73333	2.64253
172.73333	2.65349
172.75000	2.64624
172.75000	2.63319
172.76667	2.61627
172.76667	2.58195
172.76667	2.59887
172.76667	2.60177
172.76667	2.60274
172.76667	2.59565
172.76667	2.59484
172.76667	2.60032
172.76667	2.59887
172.76667	2.59613
172.76667	2.60064
172.76667	2.59678
172.76667	2.59452
172.76667	2.61385
172.76667	2.64930
