Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	3.59101
180.00000	3.59343
180.00000	3.59166
180.00000	3.57957
180.00000	3.58908
180.00000	3.58908
180.00000	3.58344
180.00000	3.59230
180.00000	3.58457
180.00000	3.57909
180.00000	3.59037
180.01667	3.59117
180.01667	3.60148
180.01667	3.60519
180.00000	3.59150
180.00000	3.59665
180.00000	3.60358
180.00000	3.60165
180.00000	3.59633
180.00000	3.58956
180.00000	3.60084
180.00000	3.58940
180.00000	3.57490
180.00000	3.58102
180.00000	3.58650
180.00000	3.57764
180.00000	3.58731
180.00000	3.58698
180.00000	3.58795
180.00000	3.59488
180.00000	3.59407
180.00000	3.59713
180.00000	3.60068
180.00000	3.59858
180.00000	3.60084
180.00000	3.60954
180.00000	3.60632
180.00000	3.60600
180.00000	3.60825
180.00000	3.60648
180.00000	3.60438
180.00000	3.60777
180.00000	3.61373
179.98333	3.61373
179.98333	3.60696
179.98333	3.61454
179.98333	3.62130
179.98333	3.61341
179.98333	3.61985
179.98333	3.62017
179.98333	3.61228
179.98333	3.61309
179.98333	3.61969
179.96667	3.61582
179.96667	3.61454
179.96667	3.61969
179.96667	3.61872
179.96667	3.62791
179.96667	3.63693
179.96667	3.64080
179.95000	3.64660
179.95000	3.64982
179.95000	3.65385
179.95000	3.65659
179.93333	3.66351
179.93333	3.67447
179.91667	3.68156
179.60000	3.81351
178.30000	0.52004
177.66667	0.01560
177.68333	0.01511
177.68333	0.01721
177.68333	0.01237
177.68333	0.01157
177.70000	0.01479
177.70000	0.01334
177.70000	0.01962
177.70000	0.01382
177.70000	0.01366
177.70000	0.01560
177.70000	0.02123
177.70000	0.02107
177.70000	0.01721
177.70000	0.01624
177.70000	0.01560
177.71667	0.01205
177.71667	0.01833
177.71667	0.01785
177.71667	0.01560
177.71667	0.01817
177.71667	0.01028
177.71667	0.01946
177.71667	0.02236
177.71667	0.03396
177.71667	0.76138
177.71667	1.31996
177.71667	1.33994
177.71667	1.19880
177.71667	1.09295
177.71667	1.00933
177.71667	0.98259
177.71667	0.99516
177.71667	1.00821
177.71667	1.10745
177.71667	1.11631
177.71667	1.09811
177.71667	1.06121
177.71667	1.04236
177.71667	1.02979
177.71667	1.01803
177.71667	1.00402
177.71667	1.00708
177.71667	1.13742
177.71667	1.18430
177.71667	1.53440
177.71667	1.92993
177.71667	1.41582
177.71667	1.41405
177.71667	1.52924
177.71667	1.64847
177.71667	1.81071
177.71667	1.92912
177.71667	1.98567
177.71667	1.96795
177.71667	1.93267
177.71667	1.95990
177.71667	2.00775
177.71667	1.94121
177.71667	1.89577
177.71667	1.95087
177.71667	1.94910
177.71667	1.94330
177.71667	1.95345
177.71667	1.95796
177.71667	1.96328
177.71667	1.94717
177.71667	1.95716
177.71667	1.92800
177.70000	1.97069
177.70000	1.96183
177.70000	1.95845
177.70000	1.94814
177.68333	1.96699
177.68333	1.96666
177.66667	1.96344
177.51667	2.01999
176.50000	2.64221
175.56667	2.93608
175.33333	2.81138
175.33333	2.76095
175.33333	2.78528
175.33333	2.79962
175.33333	2.77755
175.33333	2.74629
175.33333	2.74532
175.33333	2.74484
175.35000	2.74645
175.35000	2.74693
175.35000	2.75435
175.35000	2.74790
175.35000	2.72776
175.35000	2.72067
175.35000	2.72808
175.35000	2.73292
175.35000	2.71954
175.35000	2.72776
175.35000	2.72889
175.35000	2.73340
175.35000	2.71616
175.35000	2.72083
175.35000	2.72099
175.35000	2.73034
175.35000	2.72599
175.35000	2.71648
175.35000	2.79946
175.35000	2.80429
175.35000	3.00907
175.35000	3.08092
175.35000	3.02921
175.35000	2.36735
175.35000	2.31773
175.35000	2.35237
175.35000	2.40827
175.35000	2.46531
175.35000	2.52734
175.35000	2.59355
175.35000	2.58679
175.35000	2.58775
175.35000	2.59855
175.35000	2.58115
175.35000	2.56713
175.35000	2.57841
175.35000	2.49866
175.35000	2.51686
175.35000	2.51139
175.35000	2.51284
175.35000	2.51074
175.35000	2.52798
175.35000	2.51735
175.35000	2.51348
175.35000	2.52363
175.35000	2.52283
175.35000	2.51751
175.35000	2.51396
175.35000	2.50253
175.35000	2.50865
175.35000	2.51106
175.35000	2.51074
175.33333	2.49560
175.33333	2.48738
175.33333	2.49431
175.33333	2.49141
175.33333	2.48255
